"代码","名称","备注","涨幅","时间"
"111","****","构建了新材料和节能环保两大业务板块协同发展的产业格局","-3.21%","20250805"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","-2.95%","20250805"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","-3.34%","20250805"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","-2.95%","20250805"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","-3.34%","20250805"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","-3.34%","20250805"
"111","****","国内老牌医药企业，核心品种新活素加速放量","-5.0%","20250805"
"111","****","在电动工具用粉末冶金零件领域内，海昌新材长期排名在全国行业前","20.0%","20250806"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-3.82%","20250806"
"111","****","国内塑料空调风叶的龙头企业，拥有国内顶尖的塑料空调风叶研发能","6.03%","20250806"
"111","****","国内销售规模最大的智能燃气表制造商和系统供应商之一。","-3.75%","20250806"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","0.66%","20250806"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","4.07%","20250806"
"111","****","国内规模较大的十字轴万向节总成生产企业","1.28%","20250806"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","-3.81%","20250806"
"111","****","国内老牌医药企业，核心品种新活素加速放量","-4.01%","20250806"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","-3.81%","20250806"
"111","****","国内老牌医药企业，核心品种新活素加速放量","-4.01%","20250806"
"111","****","公司在妇科产品领域深耕多年，核心产品“洁尔阴洗液”在妇科炎症","-1.12%","20250806"
"111","****","从事医疗诊断、监护设备的研产销，产品涵盖血氧类、心电类、超声","3.23%","20250807"
"111","****","数字化X射线平板探测器行业内全球知名、国内领先的企业之一","-3.02%","20250807"
