
2025-06-01 09:50:04
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
48	53/120	61.63%/80.54%	-0.3%/2.8%	19/15

2025-06-01 09:50:04
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
央国企改革/13/11天6板	婴童概念/7/2天2板	新型城镇化/6/10天6板	长江三角/6/3天3板	西部大开发/5/4天4板

2025-06-01 09:50:05
龙头股信息：
代码	名称	板块	高度	标签	警告
600468	百利电气	 智能电网	11天6板	11天6板,央国企改革,军工  	7/7/20250530
002418	康盛股份	-4.67%	 5%	-5%	161	 75	 977	1064	 0.0	T1	昨日首板,液冷概念,无人驾驶  	0+32       	14/57%/2.1%
600834	申通地铁	  2.8%	14%	 3%	175	-26	2595	3264	-4.0	T1	昨日首板,铁路公路,央国企改革 	1/17       	2/100%/3.2%
600446	金证股份	-1.18%	 9%	-1%	182	-10	1571	 905	 1.0	T1	昨日首板,数据安全,虚拟机器人 	7/105      	 7/71%/3.9%
603030	全筑股份	 3.26%	14%	 3%	184	  8	1013	 848	-1.0	T1	昨日首板,新型城镇化,装修装饰 	4+19       	12/75%/4.3%
002355	兴民智通	-1.58%	10%	-2%	219	-21	 482	 773	-6.0	T1	昨日首板,EDR概念,电子后视镜	1+36       	 6/83%/3.7%
003042	中农联合	 2.88%	13%	-4%	229	-22	 -33	2144	 4.0	T1	供销社概念,草甘膦       	0+0        	10/40%/0.1%
000078	海王生物	 3.57%	12%	 2%	237	-17	 215	2080	-3.0	T1	病毒防治,中药概念       	1+34       	 1/0%/-3.1%
600686	金龙汽车	-4.24%	12%	-4%	242	-34	 -34	 695	-8.0	T1	昨日首板,汽车整车,无人驾驶  	7+57       	6/33%/-0.7%

2025-06-01 09:52:04
热榜个股信息3（热榜个股信息1热榜350内+最近热榜飙升超1000+涨停+压力线超5%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002229	鸿博股份	-8.14%	16%	 -8%	 56	 -7	  -5	  31	-1.0	T2	昨日首板,数字水印,英伟达概念     	2+63      	17/59%/2.9%
600105	永鼎股份	-5.38%	12%	 -6%	 85	  6	  -3	 -40	 2.0	T1	量子科技人气龙头,超导概念,可控核聚变 	80-22/5+53	11/64%/1.2%
603169	兰石重装	-7.67%	10%	 -8%	127	-14	  37	  49	 1.0	T1	昨日首板,核能核电,可控核聚变     	6+33      	 6/67%/1.3%
