
2025-06-12 09:50:20
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.95%/338	谷子经济(24),数字货币(18),小金属(18),稀土永磁(16),新能源车(13)
飙升	 2.14%/76	  AI眼镜(17),采掘行业(10),油气设服(8),虚拟现实(7),石油行业(4)
大涨	10.74%/33	   谷子经济(4),新能源车(3),盲盒经济(3),汽车零部件(2),AI眼镜(2)

2025-06-12 09:50:20
资金流入板块信息：
板块(量比/涨幅)
采掘行业(5.9/1.9),家用轻工(5.1/1.3),石油行业(4.9/0.2),小金属(4.8/-0.6),游戏(4.4/0.9)

(今日与昨日量比)上证：-8% 深证：-4% 创业板：-3% 沪深300：0% 中证1000：-6% 银行板块：7%：

2025-06-12 09:50:33
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
603679	华体科技	20250605	2	66.0%	10.0%	7.0%	17.0%	0.784	-2.0	智慧灯杆,成渝特区

2025-06-12 09:50:35
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
603390	通达电气	-5.14%	 11	-16%	 23	  2	 187	 -81	-1.0	T1	昨日首板,汽车零部件,胎压监测     	0+15            	 14/64%/3.0%
002480	新筑股份	-5.41%	  0	  0%	253	-65	1443	2714	 3.0	T1	磁悬浮概念人气龙头,超级电容,绿色电力 	6/29            	 7/43%/-0.4%
600798	宁波海运	-6.42%	 17	  5%	 95	-47	 845	 283	-1.0	T1	海洋经济,航运港口           	0+0             	  7/86%/6.4%
605388	均瑶健康	-6.96%	 18	-14%	119	-23	 -56	 -36	-6.0	T1	食品饮料人气龙头,食品饮料,乳业    	1+13            	 10/80%/4.6%
601008	连云港：	-7.49%	 13	  2%	 88	-58	 225	  62	-1.0	T1	中俄贸易概念,航运港口         	1+29            	 14/71%/5.3%

2025-06-12 09:51:37
上证神奇九转指数情况：
代码	名称	涨幅(周)	九转(周)	涨幅(日)	九转(日)	涨幅(30分)	九转(30分)	涨幅(15分)	九转(15分)
000001	上证指数	  0.76%	2.0	  0.04%	6.0	  0.00%	-1.0	 -0.05%	 2.0
000001	上证指数	 -0.57%	3.0	  0.43%	7.0	 -0.01%	 1.0	 -0.07%	 3.0
